DATE,MEALS,LIKE OR DONT LIKE
20.5.2024,cereal and milk,LIKE
,rice and chicken curry,LIKE
,roti and daal,DON’T LIKE
21.5.2024,maggi,LIKE
,rice and daal,DON’T LIKE
,roti and fish curry,LIKE
22.5.2024,bread and omelette,DON’T LIKE
,roti and chicken curry,LIKE
,roti and egg curry,LIKE
23.5.2024,maggi,LIKE
,rice and egg curry,DON’T LIKE
,roti and chicken curry,LIKE
24.5.2024,bread with PB&J,LIKE
,rice and fish curry,LIKE
,rice and daal,DON’T LIKE
