DATE,MEALS,CALORIES
20.5.2024,cereal and milk,270
,rice and chicken curry,1450
,roti and daal,1200
21.5.2024,maggi,300
,rice and daal,1150
,roti and fish curry,600
22.5.2024,bread and omelette,300
,roti and chicken curry,1000
,roti and egg curry,700
23.5.2024,maggi,450
,rice and egg curry,1300
,roti and chicken curry,1200
24.5.2024,bread with PB&J,660
,rice and fish curry,1400
,rice and daal,1250
